Gasto de Consumo Final
"27498,318724474328"
"511,06886232840213"
"70668,97972615297"
"22541,56220687613"
"3885,408777673876"
"33336,73342495698"
"15758,174312954734"
"6006,407218521216"
"17274,176429454456"
"10070,560563895015"
"419,5758879393974"
"0,0"
"1368,811063523361"
"73057,40496103113"
"26771,468956515168"
"64294,371966741695"
"24822,61176361123"
"31684,953597223473"
"67632,2102315374"
"3999,6073445917364"
"91951,46405864664"
"56336,79100893711"
"50096,574089591944"
"18178,764822821217"
